"ENSMUSG"	"row_names"
"ENSMUSG00000045763"	267
"ENSMUSG00000048279"	268
"ENSMUSG00000097239"	269
"ENSMUSG00000022797"	270
"ENSMUSG00000038893"	271
"ENSMUSG00000052504"	272
"ENSMUSG00000034437"	273
"ENSMUSG00000019929"	274
"ENSMUSG00000051920"	275
"ENSMUSG00000057457"	276
"ENSMUSG00000090086"	277
"ENSMUSG00000112022"	278
"ENSMUSG00000064339"	279
"ENSMUSG00000095865"	280
"ENSMUSG00000075528"	281
"ENSMUSG00000054459"	282
"ENSMUSG00000084159"	283
"ENSMUSG00000031283"	284
"ENSMUSG00000039883"	285
"ENSMUSG00000035284"	286
"ENSMUSG00000024598"	287
"ENSMUSG00000035299"	288
"ENSMUSG00000025969"	289
"ENSMUSG00000038700"	290
"ENSMUSG00000078154"	291
"ENSMUSG00000026764"	292
"ENSMUSG00000029838"	293
"ENSMUSG00000020105"	294
"ENSMUSG00000023830"	295
"ENSMUSG00000058498"	296
"ENSMUSG00000094910"	297
"ENSMUSG00000000402"	298
"ENSMUSG00000086922"	299
"ENSMUSG00000029019"	300
"ENSMUSG00000004415"	301
"ENSMUSG00000029826"	302
"ENSMUSG00000002028"	303
"ENSMUSG00000073530"	304
"ENSMUSG00000034041"	305
"ENSMUSG00000024014"	306
"ENSMUSG00000062209"	307
"ENSMUSG00000096054"	308
"ENSMUSG00000028248"	309
"ENSMUSG00000064208"	310
"ENSMUSG00000062038"	311
"ENSMUSG00000030451"	312
"ENSMUSG00000022032"	313
"ENSMUSG00000047419"	314
"ENSMUSG00000029638"	315
"ENSMUSG00000054555"	316
"ENSMUSG00000038692"	317
"ENSMUSG00000028369"	318
"ENSMUSG00000110631"	319
"ENSMUSG00000027536"	320
"ENSMUSG00000068748"	321
"ENSMUSG00000096544"	322
"ENSMUSG00000084353"	323
"ENSMUSG00000042744"	324
"ENSMUSG00000036854"	325
"ENSMUSG00000016918"	326
"ENSMUSG00000033688"	327
"ENSMUSG00000021613"	328
"ENSMUSG00000031561"	329
"ENSMUSG00000021388"	330
"ENSMUSG00000030739"	331
"ENSMUSG00000067586"	332
"ENSMUSG00000078087"	333
"ENSMUSG00000074652"	334
"ENSMUSG00000029168"	335
"ENSMUSG00000025261"	336
"ENSMUSG00000065947"	337
"ENSMUSG00000023885"	338
"ENSMUSG00000034059"	339
"ENSMUSG00000027520"	340
"ENSMUSG00000038872"	341
"ENSMUSG00000038677"	342
"ENSMUSG00000045482"	343
"ENSMUSG00000020220"	344
"ENSMUSG00000055775"	345
"ENSMUSG00000054889"	346
"ENSMUSG00000045672"	347
"ENSMUSG00000029563"	348
"ENSMUSG00000038900"	349
"ENSMUSG00000028370"	350
